"","X","metric","Threshold40","Threshold50","Threshold60","n","Type","Biol","Bio_endpoint","Bio_threshold","Hydro_endpoint"
"1",1,"H_ASCI_d_ds_mag_50_0.86_Positive",10.9759457748749,3.52765188311036,0.388193656232124,240,"Positive","ASCI","H_ASCI",0.86,"DS_Mag_50"
"2",2,"H_ASCI_d_fa_mag_0.86_Positive",245.669463083764,80.5975522712965,8.87410764245216,250,"Positive","ASCI","H_ASCI",0.86,"FA_Mag"
"3",3,"H_ASCI_d_peak_10_0.86_Positive",NA,NA,NA,131,"Positive","ASCI","H_ASCI",0.86,"Peak_10"
"4",4,"H_ASCI_d_peak_2_0.86_Positive",NA,NA,NA,54,"Positive","ASCI","H_ASCI",0.86,"Peak_2"
"5",5,"H_ASCI_d_peak_5_0.86_Positive",NA,NA,NA,96,"Positive","ASCI","H_ASCI",0.86,"Peak_5"
"6",6,"H_ASCI_d_sp_mag_0.86_Positive",483.707918251024,159.184097960753,15.9384167423215,232,"Positive","ASCI","H_ASCI",0.86,"SP_Mag"
"7",7,"H_ASCI_d_wet_bfl_mag_10_0.86_Positive",16.0362870649559,5.36162692117574,0.792305535376002,202,"Positive","ASCI","H_ASCI",0.86,"Wet_BFL_Mag_10"
"8",8,"H_ASCI_d_wet_bfl_mag_50_0.86_Positive",31.9773861800458,10.3284594807663,1.05527065559881,204,"Positive","ASCI","H_ASCI",0.86,"Wet_BFL_Mag_50"
"9",9,"H_ASCI_delta_q99_0.86_Positive",624.394513771342,841.637936419684,985.91855021202,29,"Positive","ASCI","H_ASCI",0.86,"Q99"
"10",10,"H_ASCI_d_ds_mag_50_0.86_Negative",-4.49969211400143,-1.7328674616023,-0.585310710313283,35,"Negative","ASCI","H_ASCI",0.86,"DS_Mag_50"
"11",11,"H_ASCI_d_fa_mag_0.86_Negative",-1.40186417643384,-0.591128777765477,-0.358562867637452,25,"Negative","ASCI","H_ASCI",0.86,"FA_Mag"
"12",12,"H_ASCI_d_peak_10_0.86_Negative",-1432.5241142132,-451.097949925214,-45.6698926967235,144,"Negative","ASCI","H_ASCI",0.86,"Peak_10"
"13",13,"H_ASCI_d_peak_2_0.86_Negative",-324.18568719672,-108.751150547173,-15.3653162376427,221,"Negative","ASCI","H_ASCI",0.86,"Peak_2"
"14",14,"H_ASCI_d_peak_5_0.86_Negative",-1276.87995000855,-393.881881425115,-39.7570314007779,179,"Negative","ASCI","H_ASCI",0.86,"Peak_5"
"15",15,"H_ASCI_d_sp_mag_0.86_Negative",-174.187295619607,-58.3347690705048,-12.7934912110825,43,"Negative","ASCI","H_ASCI",0.86,"SP_Mag"
"16",16,"H_ASCI_d_wet_bfl_mag_10_0.86_Negative",-15.0306759376775,-4.8515872911705,-0.77982116339671,73,"Negative","ASCI","H_ASCI",0.86,"Wet_BFL_Mag_10"
"17",17,"H_ASCI_d_wet_bfl_mag_50_0.86_Negative",-83.7084112532826,-22.7622930659072,-2.52923788867653,71,"Negative","ASCI","H_ASCI",0.86,"Wet_BFL_Mag_50"
"18",18,"H_ASCI_delta_q99_0.86_Negative",-450.978770902679,-143.352545871104,-14.7555191093033,246,"Negative","ASCI","H_ASCI",0.86,"Q99"
"19",1,"CSCI_d_ds_mag_50_0.79_Positive",6.54631540642069,5.41161506296442,4.366239166759,224,"Positive","CSCI","CSCI",0.79,"DS_Mag_50"
"20",2,"CSCI_d_fa_mag_0.79_Positive",43.2407160898909,36.1068433718479,29.5006781945748,241,"Positive","CSCI","CSCI",0.79,"FA_Mag"
"21",3,"CSCI_d_peak_10_0.79_Positive",NA,NA,NA,130,"Positive","CSCI","CSCI",0.79,"Peak_10"
"22",4,"CSCI_d_peak_2_0.79_Positive",NA,NA,NA,52,"Positive","CSCI","CSCI",0.79,"Peak_2"
"23",5,"CSCI_d_peak_5_0.79_Positive",NA,NA,NA,93,"Positive","CSCI","CSCI",0.79,"Peak_5"
"24",6,"CSCI_d_sp_mag_0.79_Positive",406.843997626283,330.982555265626,262.507446482659,226,"Positive","CSCI","CSCI",0.79,"SP_Mag"
"25",7,"CSCI_d_wet_bfl_mag_10_0.79_Positive",14.8360667608899,12.0259650593006,9.53218618580478,192,"Positive","CSCI","CSCI",0.79,"Wet_BFL_Mag_10"
"26",8,"CSCI_d_wet_bfl_mag_50_0.79_Positive",43.9140035043608,34.0808906560116,26.9518445833563,194,"Positive","CSCI","CSCI",0.79,"Wet_BFL_Mag_50"
"27",9,"CSCI_delta_q99_0.79_Positive",258.163648148787,337.885757712998,417.607867277208,26,"Positive","CSCI","CSCI",0.79,"Q99"
"28",10,"CSCI_d_ds_mag_50_0.79_Negative",-7.27492678553062,-6.11542887673549,-4.96713366602861,36,"Negative","CSCI","CSCI",0.79,"DS_Mag_50"
"29",11,"CSCI_d_fa_mag_0.79_Negative",-130.606239749952,-107.113442242083,-83.6206447342136,19,"Negative","CSCI","CSCI",0.79,"FA_Mag"
"30",12,"CSCI_d_peak_10_0.79_Negative",-6088.60966802886,-4875.53577643247,-3692.06486305058,130,"Negative","CSCI","CSCI",0.79,"Peak_10"
"31",13,"CSCI_d_peak_2_0.79_Negative",-3898.1213479462,-3170.80240887608,-2443.48346980595,208,"Negative","CSCI","CSCI",0.79,"Peak_2"
"32",14,"CSCI_d_peak_5_0.79_Negative",-8493.21208104161,-6864.31309875914,-5392.64293434359,167,"Negative","CSCI","CSCI",0.79,"Peak_5"
"33",15,"CSCI_d_sp_mag_0.79_Negative",-479.447127466812,-581.305848273539,-683.164569080265,34,"Negative","CSCI","CSCI",0.79,"SP_Mag"
"34",16,"CSCI_d_wet_bfl_mag_10_0.79_Negative",-47.0936794978458,-37.3599946631228,-27.6263098283997,68,"Negative","CSCI","CSCI",0.79,"Wet_BFL_Mag_10"
"35",17,"CSCI_d_wet_bfl_mag_50_0.79_Negative",-212.851419297156,-174.591005988863,-136.33059268057,66,"Negative","CSCI","CSCI",0.79,"Wet_BFL_Mag_50"
"36",18,"CSCI_delta_q99_0.79_Negative",-9938.57057558867,-7927.75992545213,-5916.94927531558,234,"Negative","CSCI","CSCI",0.79,"Q99"
