"","metric","Threshold40","Threshold50","Threshold60","n","Type","Biol","Bio_endpoint","Bio_threshold","Hydro_endpoint"
"1","CSCI_d_ds_mag_50_0.79_Positive",6.54631540642069,5.41161506296442,4.366239166759,224,"Positive","CSCI","CSCI",0.79,"DS_Mag_50"
"2","CSCI_d_fa_mag_0.79_Positive",43.2407160898909,36.1068433718479,29.5006781945748,241,"Positive","CSCI","CSCI",0.79,"FA_Mag"
"3","CSCI_d_peak_10_0.79_Positive",NA,NA,NA,130,"Positive","CSCI","CSCI",0.79,"Peak_10"
"4","CSCI_d_peak_2_0.79_Positive",NA,NA,NA,52,"Positive","CSCI","CSCI",0.79,"Peak_2"
"5","CSCI_d_peak_5_0.79_Positive",NA,NA,NA,93,"Positive","CSCI","CSCI",0.79,"Peak_5"
"6","CSCI_d_sp_mag_0.79_Positive",406.843997626283,330.982555265626,262.507446482659,226,"Positive","CSCI","CSCI",0.79,"SP_Mag"
"7","CSCI_d_wet_bfl_mag_10_0.79_Positive",14.8360667608899,12.0259650593006,9.53218618580478,192,"Positive","CSCI","CSCI",0.79,"Wet_BFL_Mag_10"
"8","CSCI_d_wet_bfl_mag_50_0.79_Positive",43.9140035043608,34.0808906560116,26.9518445833563,194,"Positive","CSCI","CSCI",0.79,"Wet_BFL_Mag_50"
"9","CSCI_delta_q99_0.79_Positive",258.163648148787,337.885757712998,417.607867277208,26,"Positive","CSCI","CSCI",0.79,"Q99"
"10","CSCI_d_ds_mag_50_0.79_Negative",-7.27492678553062,-6.11542887673549,-4.96713366602861,36,"Negative","CSCI","CSCI",0.79,"DS_Mag_50"
"11","CSCI_d_fa_mag_0.79_Negative",-130.606239749952,-107.113442242083,-83.6206447342136,19,"Negative","CSCI","CSCI",0.79,"FA_Mag"
"12","CSCI_d_peak_10_0.79_Negative",-6088.60966802886,-4875.53577643247,-3692.06486305058,130,"Negative","CSCI","CSCI",0.79,"Peak_10"
"13","CSCI_d_peak_2_0.79_Negative",-3898.1213479462,-3170.80240887608,-2443.48346980595,208,"Negative","CSCI","CSCI",0.79,"Peak_2"
"14","CSCI_d_peak_5_0.79_Negative",-8493.21208104161,-6864.31309875914,-5392.64293434359,167,"Negative","CSCI","CSCI",0.79,"Peak_5"
"15","CSCI_d_sp_mag_0.79_Negative",-479.447127466812,-581.305848273539,-683.164569080265,34,"Negative","CSCI","CSCI",0.79,"SP_Mag"
"16","CSCI_d_wet_bfl_mag_10_0.79_Negative",-47.0936794978458,-37.3599946631228,-27.6263098283997,68,"Negative","CSCI","CSCI",0.79,"Wet_BFL_Mag_10"
"17","CSCI_d_wet_bfl_mag_50_0.79_Negative",-212.851419297156,-174.591005988863,-136.33059268057,66,"Negative","CSCI","CSCI",0.79,"Wet_BFL_Mag_50"
"18","CSCI_delta_q99_0.79_Negative",-9938.57057558867,-7927.75992545213,-5916.94927531558,234,"Negative","CSCI","CSCI",0.79,"Q99"
